,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Avarua,2,CK,1587401293,83,-21.21,-159.78,78.8,10.29
1,Albany,75,US,1587400826,39,42.6,-73.97,46.99,9.17
2,Vaini,75,TO,1587401020,94,-21.2,-175.2,75.2,10.29
3,Mataura,51,NZ,1587401294,95,-46.19,168.86,42.01,3.13
4,Grand Gaube,14,MU,1587401295,81,-20.01,57.66,73.0,11.99
5,Provideniya,87,RU,1587401295,93,64.38,-173.3,19.29,8.72
6,Punta Arenas,75,CL,1587401024,62,-53.15,-70.92,51.8,28.86
7,Nikolskoye,91,RU,1587401296,52,59.7,30.79,46.99,6.71
8,Barrow,90,US,1587401296,91,71.29,-156.79,-0.4,9.17
9,Iqaluit,75,CA,1587401296,64,63.75,-68.51,1.4,14.99
10,Pisco,20,PE,1587401297,60,-13.7,-76.22,75.2,9.17
11,Puerto Ayora,20,EC,1587401297,70,-0.74,-90.35,84.2,11.41
12,Takoradze,4,GH,1587401297,75,4.88,-1.76,83.97,11.86
13,Rudnogorsk,0,RU,1587401297,92,57.26,103.75,20.55,1.23
14,Hermanus,99,ZA,1587401298,98,-34.42,19.23,57.99,7.0
15,Batavia,1,US,1587401298,32,41.85,-88.31,59.0,11.41
16,Savannah Bight,0,HN,1587401299,75,16.45,-85.85,81.9,10.33
17,Muros,100,ES,1587401299,84,42.78,-9.06,57.0,8.99
18,Bredasdorp,91,ZA,1587401071,63,-34.53,20.04,64.4,18.34
19,Kristinestad,81,FI,1587401299,80,62.27,21.38,43.32,7.18
20,Pevek,93,RU,1587401300,93,69.7,170.31,0.81,4.12
21,East London,43,ZA,1587401071,80,-33.02,27.91,75.07,20.71
22,Thompson,75,CA,1587401300,67,55.74,-97.86,19.4,4.7
23,Kapaa,10,US,1587401034,59,22.08,-159.32,64.0,3.65
24,Cabo San Lucas,5,MX,1587401301,64,22.89,-109.91,78.01,4.7
25,Bluff,46,NZ,1587401301,95,-46.6,168.33,42.01,5.48
