,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Castro,1,BR,1587423018,62,-24.79,-50.01,56.46,2.62
1,Rexburg,31,US,1587423274,25,43.83,-111.79,63.0,5.82
2,Babu,91,CN,1587423275,85,24.42,111.52,67.57,5.61
3,Zeya,100,RU,1587423275,87,53.75,127.27,25.57,14.5
4,Arraial do Cabo,20,BR,1587423275,94,-22.97,-42.03,73.4,6.93
5,Torbay,75,CA,1587423032,64,47.67,-52.73,39.99,26.4
6,Kapaa,75,US,1587423018,69,22.08,-159.32,81.0,13.87
7,Carahue,49,CL,1587423276,62,-38.7,-73.17,59.0,11.41
8,Ushuaia,75,AR,1587423015,75,-54.8,-68.3,44.6,35.57
9,Oyama,75,JP,1587423277,81,36.3,139.8,63.0,1.12
10,Smithers,20,CA,1587422693,33,54.78,-127.17,62.6,5.82
11,Rikitea,24,PF,1587423020,71,-23.12,-134.97,77.13,9.42
12,Ostrovnoy,96,RU,1587423041,97,68.05,39.51,31.24,19.17
13,Ust'-Omchug,29,RU,1587423278,78,61.15,149.63,11.79,5.57
14,Mansôa,0,GW,1587423278,56,12.07,-15.32,75.51,6.87
15,Avarua,4,CK,1587423029,70,-21.21,-159.78,84.2,16.11
16,Mar del Plata,100,AR,1587423077,77,-38.0,-57.56,64.4,6.93
17,Atuona,2,PF,1587423265,72,-9.8,-139.03,82.62,11.23
18,Chumikan,100,RU,1587423279,93,54.72,135.31,23.61,12.73
19,Saskylakh,84,RU,1587423031,97,71.92,114.08,24.49,10.07
20,Adrar,0,MR,1587423031,16,20.5,-10.07,75.81,8.08
21,Nuevo Casas Grandes,43,MX,1587423280,11,30.42,-107.92,75.76,19.8
22,Katsuura,75,JP,1587423041,87,35.13,140.3,59.0,2.24
23,Lebu,29,CL,1587422884,73,-37.62,-73.65,55.51,15.32
24,Mayo,1,US,1587423281,71,38.89,-76.51,61.0,9.17
25,Tuktoyaktuk,90,CA,1587423022,78,69.45,-133.04,8.6,11.41
26,Bumba,25,CD,1587423282,82,2.18,22.47,72.05,0.45
27,Port Elizabeth,20,ZA,1587423282,82,-33.92,25.57,64.4,14.99
28,Chui,0,UY,1587423015,73,-33.7,-53.46,67.1,2.91
29,Bredasdorp,100,ZA,1587423029,63,-34.53,20.04,60.8,1.12
30,Constitución,42,CL,1587423057,56,-35.33,-72.42,60.82,9.71
31,Busselton,23,AU,1587422868,71,-33.65,115.33,60.01,11.05
32,Hilo,1,US,1587423024,54,19.73,-155.09,82.4,13.87
33,Tiksi,95,RU,1587423019,95,71.69,128.87,22.75,2.86
34,Menongue,71,AO,1587423017,61,-14.66,17.69,60.31,4.25
35,Puerto Ayora,40,EC,1587423285,70,-0.74,-90.35,84.2,16.11
36,Varkaus,94,FI,1587423285,86,62.32,27.87,41.0,5.82
37,Cape Town,75,ZA,1587423166,93,-33.93,18.42,60.01,3.36
38,Sabang,80,ID,1587423286,77,5.89,95.32,83.79,9.44
39,Punta Arenas,40,CL,1587423028,81,-53.15,-70.92,48.2,26.4
40,Batticaloa,35,LK,1587423286,80,7.71,81.69,80.69,2.71
41,Mollendo,69,PE,1587423287,75,-17.02,-72.01,67.84,4.14
42,Butaritari,95,KI,1587423015,78,3.07,172.79,82.62,13.69
43,Verkh-Usugli,97,RU,1587423287,66,52.7,115.17,20.7,14.05
44,Bonthe,100,SL,1587423065,84,7.53,-12.51,81.32,4.7
45,Kinshasa,75,CD,1587423200,83,-4.32,15.32,78.8,6.93
46,Bambous Virieux,40,MU,1587423288,83,-20.34,57.76,77.0,14.99
47,Nantucket,20,US,1587423288,65,41.28,-70.1,45.0,19.46
48,George Town,40,MY,1587422983,94,5.41,100.34,80.6,3.36
49,Talnakh,90,RU,1587423053,94,69.49,88.4,32.0,22.37
50,Kuril'sk,100,RU,1587423289,94,45.23,147.88,36.14,13.96
51,Hermanus,99,ZA,1587423017,99,-34.42,19.23,57.0,8.05
52,Vaini,75,TO,1587423018,78,-21.2,-175.2,82.4,10.29
53,Port-Gentil,20,GA,1587423021,94,-0.72,8.78,78.8,3.36
54,Mahébourg,40,MU,1587423031,83,-20.41,57.7,77.0,14.99
55,Qaanaaq,28,GL,1587423028,80,77.48,-69.36,6.48,5.75
56,Thompson,75,CA,1587423029,53,55.74,-97.86,21.2,13.87
57,Deputatsky,100,RU,1587423060,91,69.3,139.9,15.82,4.76
58,Saldanha,100,ZA,1587423014,82,-33.01,17.94,60.8,2.24
59,Saint Paul Harbor,90,US,1587422999,87,57.79,-152.41,44.6,10.29
60,Ancud,65,CL,1587423045,71,-41.87,-73.82,50.0,5.82
61,Cayenne,100,GF,1587423078,100,4.93,-52.33,73.4,4.5
62,Ilulissat,55,GL,1587423045,63,69.22,-51.1,30.2,5.82
63,Pevek,100,RU,1587423023,93,69.7,170.31,8.92,7.9
64,Sanbu,86,CN,1587423294,61,33.46,119.15,54.21,6.58
65,Rutland,1,US,1587423294,33,43.62,-73.02,46.99,9.17
66,East Hartford,1,US,1587423294,34,41.78,-72.61,54.0,8.05
67,Mūl,30,IN,1587423295,40,20.07,79.67,82.51,4.0
68,Lavrentiya,88,RU,1587423028,91,65.58,-171.0,18.82,7.11
69,Dublin,75,US,1587423246,55,37.7,-121.94,64.99,12.75
70,Doha,100,QA,1587423296,61,25.29,51.53,80.01,1.12
71,Sivas Province,100,TR,1587423296,53,39.79,37.0,48.43,1.66
72,Salinópolis,94,BR,1587423239,79,-0.61,-47.36,80.8,6.51
73,Goianésia,97,BR,1587423296,74,-15.32,-49.12,70.77,1.79
74,Mataura,93,NZ,1587423016,81,-46.19,168.86,53.01,4.0
75,Norman Wells,75,CA,1587423297,90,65.28,-126.83,32.0,5.82
76,Quiruvilca,70,PE,1587423297,34,-7.97,-78.2,40.5,2.06
77,Hobyo,99,SO,1587423298,74,5.35,48.53,83.8,10.16
78,Fortuna,68,US,1587423042,82,40.6,-124.16,55.99,1.99
79,Airai,68,TL,1587423028,63,-8.93,125.41,67.23,3.44
80,Barcelos,20,PT,1587423299,93,41.54,-8.62,53.6,3.78
81,Tonstad,0,NO,1587423299,74,58.66,6.72,45.0,5.28
82,Aquiraz,20,BR,1587423079,70,-3.9,-38.39,84.2,4.7
83,Phan Thiet,70,VN,1587423300,72,10.93,108.1,80.29,6.4
84,Tasiilaq,100,GL,1587423300,87,65.61,-37.64,33.8,4.7
85,São Filipe,2,CV,1587423300,77,14.9,-24.5,72.45,13.15
86,Fort Nelson,75,CA,1587423301,41,58.81,-122.7,66.2,9.15
87,Ballina,68,AU,1587422968,77,-28.87,153.57,66.99,5.82
88,Byron Bay,73,AU,1587423301,77,-28.65,153.62,66.99,5.82
89,Beisfjord,100,NO,1587423301,93,68.38,17.6,39.2,17.22
90,Payyanur,66,IN,1587423071,81,12.1,75.2,81.52,3.15
91,Upernavik,100,GL,1587423026,90,72.79,-56.15,28.81,3.02
92,Itarema,59,BR,1587423240,86,-2.92,-39.92,78.4,6.08
93,Hamilton,20,US,1587423303,27,39.18,-84.53,64.4,10.29
94,Sandwich,90,US,1587423303,58,41.65,-88.62,59.0,19.46
95,Albany,40,US,1587423008,25,42.6,-73.97,53.6,5.82
96,Osinki,100,RU,1587423304,84,52.84,49.51,49.87,10.29
97,Hobart,40,AU,1587422918,71,-42.88,147.33,55.0,6.93
98,Khatanga,100,RU,1587423037,96,71.97,102.5,27.36,4.59
99,Zhenlai,100,CN,1587423305,97,45.85,123.3,28.72,25.3
100,Fairbanks,90,US,1587422771,93,64.84,-147.72,44.01,3.36
101,Shakawe,61,BW,1587423305,38,-18.37,21.85,61.29,4.14
102,Yellowknife,90,CA,1587422784,57,62.46,-114.35,23.0,9.17
103,Bongor,58,TD,1587423306,40,10.28,15.37,82.2,5.93
104,Mtsamboro,20,YT,1587423306,78,-12.7,45.07,80.6,2.24
105,Alofi,40,NU,1587423036,69,-19.06,-169.92,82.4,11.41
106,Jurm,64,AF,1587423307,34,36.86,70.83,49.82,0.92
107,Morro Bay,1,US,1587423307,59,35.37,-120.85,64.99,14.99
108,Nanortalik,86,GL,1587423048,88,60.14,-45.24,31.37,3.89
109,Yamada,96,JP,1587423308,78,39.47,141.95,52.0,6.6
110,Ixtapa,5,MX,1587423078,73,20.7,-105.2,78.01,11.41
111,Vestmanna,0,FO,1587423028,93,62.16,-7.17,41.0,6.93
112,Galatas,40,GR,1587423308,88,37.5,23.45,66.0,3.36
113,El'brus,95,RU,1587423309,44,43.26,42.64,36.45,3.49
114,Bahía Blanca,48,AR,1587423055,59,-38.72,-62.27,56.59,9.35
115,Lorengau,13,PG,1587423069,67,-2.02,147.27,85.28,4.25
116,Robertsport,67,LR,1587423310,84,6.75,-11.37,80.56,5.86
117,New Norfolk,34,AU,1587423310,74,-42.78,147.06,55.0,1.01
118,Hambantota,48,LK,1587423263,81,6.12,81.12,80.64,9.19
119,Jamestown,1,US,1587423019,33,42.1,-79.24,48.0,11.41
120,Price,1,US,1587423047,23,39.6,-110.81,60.8,1.16
121,Makakilo City,1,US,1587423311,65,21.35,-158.09,80.6,9.17
122,Geraldton,2,AU,1587423052,87,-28.77,114.6,53.6,10.29
123,Moses Lake,1,US,1587423312,23,47.13,-119.28,73.4,4.7
124,Utete,92,TZ,1587423312,95,-7.99,38.76,73.13,2.66
125,Rabo de Peixe,20,PT,1587423313,67,37.8,-25.58,59.0,6.93
126,Bubaque,0,GW,1587423313,70,11.28,-15.83,78.62,14.88
127,Severo-Kuril'sk,80,RU,1587423038,91,50.68,156.12,32.94,3.98
128,Urussu,100,RU,1587423314,73,54.6,53.46,43.74,14.65
